,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30
DSC08589-3-1.jpg,-0.040418025,0.05533878,0.012713242,0.057371203,0.048678473,-0.098159425,0.0672154,0.12682056,-0.16620022,-0.05902872,-0.036672227,-0.14282171,-0.1919265,-0.15115209,-0.020504039,-0.09675083,0.027106976,-0.10494761,-0.0147368,-0.023582786,-0.033862192,-0.12868682,-0.056732804,0.092245355,-0.10424124,-0.012622543,-0.054589797,0.36424798,0.06389588,0.14515407
DSC08593.jpg,-0.12938042,0.075016335,0.025159603,0.014684364,0.027930446,0.029463932,0.0038592578,-0.05856537,-0.027479723,0.088470764,-0.01892595,0.04219452,0.07036735,0.005815542,-0.034025796,0.0008280026,0.0005985559,-0.013419591,-0.03174558,0.042428505,0.08979619,-0.17063655,-0.07921835,-0.018869396,0.072316736,-0.041264698,-0.11589396,-0.10729065,-0.093846895,0.100996524
DSC08596.jpg,-0.14675012,0.09473513,0.030920936,0.04041645,0.027863745,0.0076171765,-0.0039501805,-0.04312179,-0.06757413,0.073554516,-0.03248292,0.063780904,0.050079923,-0.007849374,-0.027064221,-0.004581277,-0.012277486,-0.030667167,0.002886492,0.051587157,0.08984136,-0.19954394,-0.08646257,-0.040017065,0.06358512,-0.074548535,-0.15316547,-0.10489607,-0.12318419,0.121697955
DSC08599.jpg,-0.08485361,0.028470013,-0.010629842,0.09010191,0.0029798276,-0.01969332,-0.028405998,-0.058364134,-0.104608394,0.051753223,-0.009671837,0.063994065,0.06284447,-0.0015430371,-0.0008846117,-0.047275916,-0.049054794,-0.0439586,-0.017765176,0.059341118,0.09609911,-0.18204671,-0.109305635,0.036132514,-0.043557044,-0.0694258,-0.074667014,-0.08534257,-0.08895144,0.05822153
DSC08600.jpg,-0.08967511,0.09313641,0.008433042,0.072316036,0.018419033,0.057686903,0.0033317325,-0.1007784,-0.081553325,0.0877281,-0.012685206,0.074365094,0.09205163,-0.00079823786,-0.034258906,-0.020530658,-0.01208902,-0.06451653,0.0075593432,0.06947886,0.1064308,-0.13424064,-0.08147,0.027197279,0.014135787,-0.065578684,-0.09354814,-0.09079508,-0.105202004,0.10220714
DSC08609.jpg,-0.10529894,0.072436556,0.056447912,-0.0094660465,-0.0010667025,0.011456082,-0.076499455,-0.041361317,-0.016527578,0.020552615,-0.040601637,0.07230923,0.037539512,0.0025127556,-0.029785357,-0.017083537,0.014501497,-0.039944097,0.024256727,0.045999534,-0.020567916,-0.12688494,-0.056425843,-0.08372589,0.079138905,-0.02791258,-0.10237684,-0.07251675,-0.104983345,0.073090106
DSC08611.jpg,-0.09109856,0.008994673,0.050643068,0.0076851137,-0.017744727,-0.041360058,-0.14343195,-0.0327976,0.08318448,-0.0051411903,0.049557902,-0.042739443,0.0791764,0.019248689,-0.013930157,-0.02086552,-0.07299436,0.01127941,-0.0075372886,0.011766489,0.0292841,-0.060871135,0.01497412,-0.04027942,0.042498775,0.005780639,-0.0012303212,0.00043093704,-0.054761767,-0.030678688
DSC08621.jpg,-0.16730307,0.0325101,-0.0019705307,-0.03011039,-0.0032752072,0.018832369,-0.023279402,-0.00014081807,0.0024304127,-0.002312237,-0.06570802,0.052116245,0.039787363,0.03140974,-0.030788051,0.0023617188,0.00083820964,-0.008182912,0.0154677,0.05020479,-0.08092685,-0.06530842,-0.040753473,-0.016644742,0.03382888,-0.028157495,-0.091079175,-0.039922763,-0.015848307,0.03371555
DSC08632.jpg,-0.13928045,0.054902066,0.020650696,-0.054491118,-0.006367963,0.013932554,-0.0016461136,0.0027573984,-0.0013357061,-0.029519651,-0.07685937,0.04923796,0.011445001,0.02024374,-0.036556292,0.018513393,0.0034236326,-0.004204974,-0.0104650315,0.061581403,-0.091081105,-0.06293058,-0.03547142,-0.048499297,0.030120611,-0.032337375,-0.12239512,-0.054234132,-0.014646632,0.05027334
DSC08634.jpg,-0.13670847,0.08951025,0.04913726,-0.04249601,0.010165451,0.014531541,-0.020601198,0.0072580823,-0.005564793,-0.046465974,-0.08049841,0.024064569,-0.006201969,0.0042779874,-0.056488257,-0.0028145087,0.0015325948,-0.01310054,0.015373485,0.06945593,-0.088336304,-0.08607234,-0.04725471,-0.037166804,0.046346974,-0.052012347,-0.11810258,-0.03415753,-0.013631022,0.04947985
